Distance (um)	Xalm	Xsps	Xprp	Xgrs
4240	0.8308785	0.00384143	0.15312033	0.01215973
4250	0.8348184	0.00378554	0.14910072	0.01233886
4260	0.82987649	0.00361371	0.15388197	0.01262783
4270	0.82605704	0.00322106	0.15822859	0.01257092
4280	0.82726002	0.00323014	0.15672449	0.01278534
4290	0.82688627	0.00311773	0.15679554	0.01320047
4300	0.82536442	0.00317662	0.15867554	0.01282364
4310	0.82215882	0.00312402	0.16201333	0.01270382
4320	0.82278971	0.00311454	0.16104711	0.01304864
4330	0.82106424	0.00313162	0.16330762	0.01249652
4340	0.81997562	0.00298149	0.16436405	0.01267884
4350	0.82185128	0.00286758	0.16292367	0.01235747
4360	0.82046026	0.00286252	0.16415302	0.01255787
4370	0.81804309	0.00291327	0.16665675	0.01238689
4380	0.81940538	0.00260677	0.16597234	0.01201551
4390	0.81527243	0.00282763	0.16940521	0.01249473
4400	0.81617886	0.00287425	0.1689327	0.0120142
4410	0.81737255	0.00253762	0.16817127	0.01194951
4420	0.81616951	0.00254951	0.16988369	0.01142802
4430	0.81373835	0.00265549	0.17160916	0.01206177
4440	0.81478457	0.00275263	0.17070198	0.01179398
4450	0.81744077	0.00278728	0.16812138	0.01165057
4460	0.81306717	0.00277556	0.17248231	0.01167495
4470	0.81483881	0.0030346	0.1708517	0.01138592
4480	0.81352511	0.00305037	0.17164031	0.01182096
4490	0.81270078	0.0032109	0.17196244	0.01216758
4500	0.81277815	0.00351669	0.17050932	0.01324211
4510	0.81686289	0.00413759	0.16474389	0.01431154
4520	0.81564317	0.00362529	0.16594641	0.01484764
4530	0.81971718	0.00375574	0.1646054	0.01201329
4540	0.8142459	0.00430701	0.17126477	0.01168122
4550	0.79411012	0.00380427	0.19281982	0.00953753
4560	0.81492492	0.00326281	0.17260276	0.00920951
