Distance	Si	Ti	Al	Mg	Fe	Mn	Ca	SumCat	Xalm	Xsps	Xprp	Xgrs	XMg	ratio_CaFe
1430	3.01298574	0.00328923	1.97032668	0.31186197	2.58014728	0.07460676	0.03458725	8.00931848	0.85962891	0.02486795	0.10396195	0.01154118	0.10789094	0.01343511
1440	3.01339515	0.0035427	1.96914183	0.31287888	2.57832363	0.07472378	0.03498739	8.00998913	0.85906543	0.02493052	0.10433561	0.01166844	0.10829924	0.01360218
1450	3.02205456	0.00335286	1.96716613	0.31050794	2.56287974	0.07639989	0.03618231	8.00347558	0.85834204	0.02558557	0.10396013	0.01211226	0.10802968	0.01412215
1460	3.0104181	0.00345839	1.97171971	0.31355536	2.57794793	0.07604893	0.03686608	8.01051282	0.85798377	0.0253335	0.10441259	0.01227014	0.10848942	0.01431923
1470	3.01926754	0.0035725	1.96506935	0.31200499	2.56867275	0.07810953	0.03648108	8.00607284	0.85760567	0.02608145	0.1041418	0.01217108	0.1082793	0.0142113
1480	3.02612197	0.00343998	1.96288432	0.30582852	2.56036047	0.07923735	0.0399621	8.00015707	0.85767034	0.02654551	0.10241163	0.01337253	0.10666916	0.01561201
1490	2.99940009	0.00330416	1.97376428	0.31179399	2.59006691	0.07946845	0.04157834	8.02145098	0.85660836	0.02633576	0.10326999	0.01378588	0.10759306	0.01611479
1500	3.01730016	0.00344422	1.9668083	0.30324384	2.57001019	0.08105166	0.04195633	8.00788823	0.85775218	0.02705879	0.10120294	0.01398609	0.10553846	0.01633151
1510	3.00122491	0.00358294	1.98345443	0.30534306	2.57141692	0.08158937	0.04347609	8.01684214	0.856468	0.0272226	0.10180963	0.01449977	0.10625163	0.01695407
1520	3.02461094	0.00327951	1.96018215	0.30805633	2.55650356	0.08267812	0.04539183	8.00344758	0.85423317	0.0276444	0.10294066	0.01518177	0.10754374	0.01778491
1530	3.0032454	0.00336634	1.96950416	0.3010335	2.58731741	0.0840853	0.04882321	8.02001314	0.85589749	0.02792651	0.09995399	0.016222	0.10458886	0.01898524
1540	3.01047122	0.00330446	1.9684496	0.29664903	2.57818687	0.08308686	0.05102106	8.01282993	0.85636263	0.02772572	0.09888709	0.01702457	0.10355035	0.01991782
1550	3.01306548	0.00399513	1.96642132	0.30357168	2.560571	0.08504625	0.05591382	8.01087278	0.85196928	0.02832835	0.10107121	0.01863116	0.10605749	0.02189125
1560	3.00256563	0.00360779	1.97361914	0.29580543	2.57164615	0.08746005	0.06110924	8.01822061	0.85245841	0.02904848	0.09821134	0.02028177	0.10331959	0.02382411
1570	3.00988167	0.00352769	1.96029011	0.29839598	2.57504207	0.08770355	0.05952493	8.01852516	0.85210731	0.02913491	0.09898991	0.01976786	0.10409851	0.02323549
1580	3.00635889	0.00502048	1.95127507	0.29386333	2.59861836	0.08718524	0.05899883	8.02464602	0.85411697	0.02891613	0.09743773	0.01952918	0.1024542	0.02291674
1590	3.01381268	0.00322683	1.96039546	0.29697576	2.57176117	0.08961427	0.05748408	8.01236785	0.85235378	0.02980584	0.09872072	0.01911966	0.10381989	0.02246304
1600	3.02162917	0.00345009	1.9550913	0.29792144	2.56203405	0.09071625	0.05540465	8.00862499	0.85231757	0.03019718	0.09902622	0.01845903	0.10409035	0.02167677
1610	3.00883267	0.00362465	1.95947482	0.29969201	2.57785451	0.09011078	0.05650614	8.01951496	0.85183751	0.02993242	0.09947882	0.01875125	0.10458677	0.02204248
1620	3.01565523	0.00375972	1.95782603	0.30218468	2.56410039	0.09097447	0.05734292	8.01150063	0.85010284	0.03028143	0.10053531	0.01908042	0.10577473	0.02247031
1630	3.0189591	0.00335699	1.96061496	0.30183959	2.55233017	0.0938154	0.05707676	8.00675988	0.84939155	0.03122663	0.10038952	0.0189923	0.10570297	0.02238208
1640	2.99947777	0.00354738	1.96694666	0.29747457	2.58663679	0.09355894	0.0549164	8.02444451	0.8524622	0.03095253	0.09843248	0.01815279	0.10355301	0.02133406
1650	2.99023332	0.00339651	1.97645471	0.29587507	2.5922319	0.09424018	0.0557378	8.02811614	0.85269439	0.03116954	0.09769715	0.01843892	0.10282618	0.02166617
1660	3.00299623	0.00337127	1.97577493	0.29584836	2.56707856	0.09460535	0.05492838	8.01688699	0.8519219	0.03145818	0.09837398	0.01824594	0.10352484	0.02143447
1670	3.00836493	0.00332654	1.96143178	0.29957651	2.57064206	0.09488446	0.05898734	8.01797165	0.84970858	0.03146456	0.09930523	0.01952164	0.10467057	0.02300821
1680	2.99927325	0.00360596	1.97644918	0.29297786	2.57239138	0.09651772	0.05804074	8.01867864	0.85137036	0.0320792	0.0972786	0.01927185	0.10257463	0.02266866
1690	2.98565739	0.00355027	1.97711388	0.29327982	2.59526882	0.09785921	0.05853085	8.03321056	0.85164244	0.03230283	0.09674435	0.01931038	0.10205588	0.0227262
1700	2.99641517	0.00400093	1.97182329	0.29659941	2.57419937	0.09833853	0.06031015	8.02565767	0.84938859	0.03253588	0.09810986	0.01996567	0.10355768	0.0235286
1710	3.00515788	0.0034751	1.9635316	0.29294373	2.57597734	0.09754667	0.0588124	8.02175771	0.8510571	0.03235707	0.09707627	0.01950956	0.10240609	0.02295563
1720	2.99884511	0.00364671	1.97284784	0.29170972	2.57270314	0.09964238	0.06077577	8.02199786	0.85028688	0.03298833	0.09660583	0.02011896	0.10203133	0.02368947
1730	2.99550653	0.0034565	1.97119969	0.2937508	2.57729503	0.10107604	0.06237218	8.0262175	0.84898969	0.03339701	0.09700402	0.02060928	0.10255637	0.02429799
1740	3.01427898	0.00354931	1.96710752	0.28952775	2.54949072	0.10153028	0.06267036	8.00908096	0.84885168	0.03382654	0.09644173	0.02088005	0.10202598	0.02461652
1750	3.00406282	0.00345867	1.97411753	0.29020502	2.55919946	0.10201032	0.06329015	8.0144955	0.84861158	0.03392837	0.09643971	0.02102033	0.10205511	0.02479082
1760	3.003727	0.00310914	1.9719768	0.29313283	2.55593583	0.10299561	0.06585744	8.01761627	0.8467189	0.03416939	0.0972498	0.02186191	0.1030278	0.02584082
1770	3.00936239	0.00345629	1.95897148	0.28837982	2.56755836	0.10222091	0.06584184	8.01960009	0.84848887	0.03392884	0.09573264	0.02184965	0.10142488	0.02580002
1780	3.01421413	0.00340208	1.95354048	0.28900364	2.55938055	0.10435546	0.06940302	8.01792775	0.84637037	0.03467491	0.09590775	0.02304697	0.10181731	0.02728099
1790	2.98819808	0.0036071	1.98492183	0.28425302	2.55889553	0.1051532	0.07928532	8.02715373	0.84477778	0.03485175	0.09412881	0.02624166	0.10027714	0.03111036
1800	3.00823205	0.00324613	1.96896566	0.28492326	2.54112598	0.10603894	0.08055269	8.01522515	0.84322815	0.03526081	0.09470801	0.02680303	0.10098929	0.03184191
1810	3.0158118	0.00344551	1.95841348	0.28778506	2.54176924	0.10689723	0.07513998	8.01380961	0.84384194	0.03554888	0.09562839	0.02498079	0.1017993	0.02963553
